,用户ID,出生日期,性别
926,1087643545,2013-06-29,1
927,1094274418,2013-08-03,0
928,1103802043,2013-03-01,1
929,1133628211,2012-09-03,0
930,1577585731,2013-03-21,0
931,1609674769,2014-07-03,2
932,1635254677,2013-01-23,1
933,1649930323,2010-10-04,0
934,1671493753,2014-12-22,1
935,1683328510,2013-08-17,1
936,1702276954,2013-08-21,1
937,1711109878,2012-08-23,0
938,1720825303,2014-07-21,0
939,1754594929,2014-08-26,0
940,1812586633,2015-03-09,0
941,1830529477,2013-06-17,0
942,1836568285,2011-11-23,0
943,1862594497,2010-01-05,0
944,1890948217,2013-09-17,0
945,1921509424,2013-05-31,1
946,1973092345,2003-03-03,0
947,1993235563,2014-07-09,1
948,2020957900,2014-04-30,0
949,2080304899,2010-07-13,0
950,2114469016,2014-04-16,0
951,2186831536,2014-05-19,1
952,2254611367,2011-10-31,0
